,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
2737,-82.62847,35.63508,A,Entire home/apt,6,3.0,4.0,172.0,3,0,,True
2738,-82.64945,35.58188,A,Entire home/apt,4,2.0,2.0,115.0,2,7,5.0,True
2739,-82.537659,35.59383,E,Entire home/apt,7,3.0,,382.0,1,0,,True
2740,-82.59742,35.61499,A,Entire home/apt,4,2.0,2.0,125.0,2,2,5.0,True
2741,-82.51177,35.59424,E,Private room,3,1.0,2.0,122.0,2,2,5.0,False
2742,-82.57141,35.60283,B,Entire home/apt,5,3.0,2.0,180.0,30,0,,False
2743,-82.47698,35.62268,E,Entire home/apt,5,3.0,3.0,155.0,3,1,5.0,True
2744,-82.51465,35.55038,C,Entire home/apt,8,3.0,5.0,221.0,2,1,5.0,False
2745,-82.572945,35.568745,A,Entire home/apt,2,1.0,1.0,62.0,30,0,,True
2746,-82.58366,35.57516,A,Entire home/apt,4,1.0,2.0,94.0,1,8,5.0,True
2747,-82.64537,35.56803,G,Entire home/apt,6,3.0,3.0,203.0,1,2,5.0,False
2748,-82.5507,35.59745,B,Entire home/apt,4,2.0,2.0,324.0,1,1,5.0,True
2749,-82.49992,35.45917,F,Entire home/apt,2,1.0,1.0,107.0,1,1,5.0,True
2750,-82.49717,35.64899,D,Entire home/apt,2,1.0,1.0,137.0,2,2,5.0,True
2751,-82.564079,35.62196,D,Entire home/apt,14,4.0,4.0,828.0,3,0,,True
2752,-82.630135,35.636261,A,Entire home/apt,4,2.0,2.0,140.0,2,0,,True
2753,-82.47595,35.55497,C,Entire home/apt,6,3.0,3.0,171.0,1,6,5.0,True
2754,-82.59134,35.56965,A,Entire home/apt,2,1.0,1.0,60.0,30,0,,False
2755,-82.65399,35.53698,G,Entire home/apt,16,8.0,11.0,783.0,2,4,5.0,True
2756,-82.61305,35.58696,A,Private room,2,1.0,1.0,100.0,1,0,,False
2757,-82.53497,35.62839,D,Entire home/apt,12,5.0,7.0,618.0,1,0,,True
2758,-82.654823,35.537674,G,Entire home/apt,4,3.0,6.0,487.0,1,1,5.0,True
2759,-82.55836,35.58774,B,Entire home/apt,2,1.0,1.0,160.0,1,3,5.0,False
2760,-82.5332,35.57749,C,Entire home/apt,6,3.0,3.0,300.0,14,0,,False
2761,-82.57666,35.65494,D,Entire home/apt,4,2.0,3.0,118.0,2,1,5.0,True
2762,-82.61065,35.60362,A,Entire home/apt,6,3.0,4.0,136.0,2,0,,True
2763,-82.55245,35.59696,B,Entire home/apt,4,2.0,2.0,352.0,1,1,5.0,True
2764,-82.51609,35.46615,F,Entire home/apt,6,2.0,2.0,123.0,1,0,,True
2765,-82.50443,35.46228,F,Entire home/apt,2,1.0,1.0,139.0,1,0,,True
2766,-82.63134,35.55685,A,Entire home/apt,2,1.0,1.0,83.0,1,2,5.0,True
2767,-82.585968,35.648819,D,Entire home/apt,2,1.0,1.0,103.0,1,1,5.0,True
2768,-82.62024,35.55323,A,Entire home/apt,6,3.0,3.0,275.0,2,0,,False
2769,-82.627892,35.586411,A,Entire home/apt,5,2.0,2.0,140.0,2,1,5.0,False
2770,-82.47912,35.59954,E,Entire home/apt,4,3.0,5.0,166.0,7,0,,True
2771,-82.61192,35.62153,D,Entire home/apt,6,3.0,4.0,227.0,2,1,5.0,False
2772,-82.57912,35.65487,D,Entire home/apt,16,7.0,11.0,636.0,2,0,,True
2773,-82.63286,35.61006,A,Entire home/apt,16,6.0,11.0,830.0,1,2,5.0,True
2774,-82.64606,35.57156,A,Entire home/apt,2,2.0,3.0,110.0,30,0,,False
2775,-82.65316,35.5533,G,Entire home/apt,6,3.0,4.0,120.0,30,0,,False
2776,-82.55278,35.58938,B,Entire home/apt,6,2.0,4.0,366.0,1,0,,True
2777,-82.573883,35.583305,A,Entire home/apt,4,2.0,2.0,72.0,30,0,,False
2778,-82.62999,35.62526,A,Entire home/apt,4,2.0,2.0,94.0,2,0,,False
2779,-82.53161,35.5501,C,Private room,2,1.0,1.0,61.0,3,1,5.0,False
2780,-82.611465,35.574299,A,Entire home/apt,4,2.0,2.0,65.0,31,0,,True
2781,-82.66051,35.5672,G,Entire home/apt,3,1.0,2.0,68.0,2,0,,False
2782,-82.543373,35.623951,D,Entire home/apt,2,1.0,1.0,119.0,2,2,5.0,False
2783,-82.55172,35.59598,B,Entire home/apt,4,2.0,2.0,281.0,1,0,,True
2784,-82.49642,35.54754,C,Entire home/apt,5,3.0,3.0,250.0,2,2,3.0,True
