,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
0,-82.55563,35.6067,B,Entire home/apt,2,1.0,1.0,120.0,30,90,4.5,False
1,-82.59578,35.57864,A,Entire home/apt,2,1.0,1.0,100.0,1,359,4.58,True
2,-82.59578,35.57864,A,Private room,2,1.0,1.0,66.0,1,67,4.52,True
5,-82.55276,35.61856,D,Entire home/apt,4,1.0,2.0,134.0,30,58,4.87,False
6,-82.50655,35.59635,E,Private room,2,1.0,1.0,68.0,7,57,4.66,False
7,-82.48114,35.61929,E,Entire home/apt,2,1.0,1.0,83.0,1,678,4.94,True
8,-82.52586,35.64453,D,Entire home/apt,4,2.0,2.0,289.0,30,24,4.9,False
9,-82.59997,35.58217,A,Entire home/apt,4,1.0,3.0,83.0,2,516,4.85,True
10,-82.48438,35.49111,C,Entire home/apt,2,1.0,1.0,159.0,2,47,4.98,True
11,-82.55912,35.5759,B,Private room,2,1.0,1.0,136.0,2,110,4.72,False
12,-82.56174,35.60182,B,Entire home/apt,2,1.0,1.0,140.0,2,343,4.91,True
13,-82.57784,35.56118,C,Entire home/apt,3,1.0,1.0,145.0,1,619,4.98,False
14,-82.55621,35.60371,B,Private room,2,,1.0,129.0,2,418,4.91,True
15,-82.54376,35.61115,B,Entire home/apt,2,1.0,1.0,75.0,30,134,4.76,False
16,-82.5539,35.60075,B,Entire home/apt,2,1.0,1.0,55.0,90,355,4.66,False
17,-82.54964,35.60418,B,Entire home/apt,2,1.0,2.0,161.0,30,113,4.83,True
18,-82.553017,35.621288,D,Entire home/apt,4,1.0,1.0,98.0,1,611,4.71,True
19,-82.50285,35.62272,E,Private room,2,1.0,1.0,55.0,2,232,4.63,False
20,-82.55741,35.58131,B,Private room,2,1.0,1.0,90.0,2,1089,4.67,False
21,-82.55705,35.57468,B,Private room,2,1.0,2.0,229.0,2,13,4.77,True
22,-82.58342,35.57805,A,Entire home/apt,5,2.0,4.0,95.0,1,100,4.87,False
23,-82.56161,35.58395,B,Entire home/apt,4,2.0,2.0,265.0,2,485,4.98,False
24,-82.51219,35.64271,D,Entire home/apt,6,3.0,4.0,198.0,2,122,4.72,False
25,-82.50657,35.58617,E,Private room,2,1.0,1.0,74.0,2,181,4.7,False
26,-82.59475,35.56893,A,Entire home/apt,2,,1.0,106.0,3,816,4.87,True
27,-82.5961,35.60321,A,Entire home/apt,4,2.0,2.0,127.0,2,22,4.82,True
28,-82.59092,35.57312,A,Private room,2,1.0,1.0,91.0,3,590,4.94,False
29,-82.57668,35.6117,B,Entire home/apt,6,3.0,3.0,257.0,3,150,4.66,False
30,-82.48361,35.55544,C,Entire home/apt,2,1.0,1.0,151.0,2,163,4.96,False
31,-82.55594,35.6157,D,Entire home/apt,2,1.0,1.0,130.0,30,76,4.96,False
32,-82.49132,35.55144,C,Entire home/apt,2,1.0,1.0,105.0,2,240,4.99,True
33,-82.51605,35.6461,D,Entire home/apt,4,1.0,2.0,162.0,2,593,4.99,False
34,-82.59377,35.57381,A,Private room,2,1.0,1.0,85.0,2,306,4.9,False
35,-82.50215,35.62277,E,Entire home/apt,2,,2.0,57.0,2,103,4.66,False
36,-82.49987,35.58247,E,Entire home/apt,3,1.0,1.0,88.0,3,86,4.77,False
37,-82.57928,35.62447,D,Entire home/apt,4,2.0,3.0,163.0,2,69,4.83,False
38,-82.53984,35.46158,F,Private room,2,1.0,1.0,80.0,1,112,4.98,False
39,-82.53695,35.57597,C,Entire home/apt,2,1.0,1.0,158.0,2,134,4.93,False
40,-82.65529,35.56843,G,Entire home/apt,2,1.0,1.0,85.0,2,17,4.81,False
41,-82.52651,35.64455,D,Entire home/apt,5,3.0,2.0,124.0,30,27,5.0,False
42,-82.55237,35.61156,B,Private room,2,1.0,1.0,70.0,30,39,4.89,False
43,-82.53846,35.57357,C,Entire home/apt,2,,1.0,88.0,2,113,4.91,False
44,-82.55719,35.57478,B,Private room,2,1.0,1.0,174.0,2,5,4.8,True
45,-82.55362,35.60603,B,Entire home/apt,2,1.0,1.0,79.0,30,222,4.71,False
46,-82.56212,35.60823,B,Private room,2,1.0,1.0,85.0,2,251,4.95,True
47,-82.48789,35.60792,E,Entire home/apt,10,3.0,6.0,293.0,3,143,4.99,False
48,-82.55594,35.60644,B,Entire home/apt,3,2.0,2.0,177.0,30,52,4.67,False
49,-82.55647,35.60368,B,Entire home/apt,2,1.0,1.0,124.0,2,67,4.85,True
50,-82.5512,35.59224,B,Private room,2,1.0,1.0,92.0,2,465,4.75,False
51,-82.5309,35.64752,D,Entire home/apt,6,2.0,2.0,250.0,3,92,4.95,False
52,-82.54775,35.61295,B,Entire home/apt,4,1.0,1.0,110.0,30,102,4.9,False
53,-82.61641,35.56677,A,Entire home/apt,3,1.0,2.0,99.0,2,35,4.97,False
54,-82.54949,35.63647,D,Entire home/apt,2,1.0,2.0,121.0,2,355,4.94,False
55,-82.55628,35.58601,B,Entire home/apt,6,2.0,3.0,165.0,30,348,4.93,False
57,-82.55634,35.6013,B,Entire home/apt,3,2.0,3.0,80.0,90,144,4.49,False
58,-82.55334,35.61054,B,Entire home/apt,2,1.0,1.0,86.0,30,225,4.89,False
59,-82.55814,35.58225,B,Entire home/apt,2,1.0,1.0,92.0,2,340,4.87,True
60,-82.56834,35.56893,A,Private room,2,1.0,1.0,65.0,28,36,4.75,False
62,-82.56101,35.60403,B,Private room,2,1.0,1.0,92.0,1,892,4.86,True
63,-82.55329,35.59541,B,Entire home/apt,4,1.0,1.0,223.0,1,618,4.96,True
64,-82.55759,35.60048,B,Private room,2,1.0,1.0,98.0,1,977,4.89,True
65,-82.51076,35.59171,E,Entire home/apt,3,1.0,1.0,96.0,2,159,4.93,True
66,-82.58682,35.57943,A,Entire home/apt,4,2.0,2.0,151.0,2,301,4.88,True
67,-82.56782,35.58939,B,Entire home/apt,4,2.0,2.0,210.0,60,182,4.82,False
68,-82.55587,35.60045,B,Entire home/apt,4,2.0,2.0,85.0,180,12,5.0,False
69,-82.4836,35.61523,E,Entire home/apt,14,6.0,8.0,870.0,2,39,4.53,False
70,-82.54351,35.60606,B,Entire home/apt,2,1.0,2.0,83.0,30,155,4.74,True
71,-82.55362,35.61231,B,Entire home/apt,2,1.0,1.0,85.0,30,196,4.89,False
72,-82.50327,35.58693,E,Entire home/apt,4,1.0,2.0,120.0,1,335,4.92,True
73,-82.55617,35.60329,B,Entire home/apt,2,1.0,1.0,109.0,2,559,4.92,True
74,-82.5664,35.59215,B,Entire home/apt,2,1.0,1.0,140.0,30,184,4.79,True
75,-82.53003,35.6241,D,Entire home/apt,4,2.0,2.0,146.0,1,312,4.85,True
76,-82.63967,35.59519,A,Entire home/apt,6,3.0,3.0,221.0,1,387,4.82,True
79,-82.63689,35.58751,A,Entire home/apt,2,1.0,2.0,79.0,2,168,4.83,False
80,-82.53483,35.57215,E,Entire home/apt,4,2.0,2.0,170.0,3,2,5.0,False
81,-82.51284,35.49097,C,Private room,3,1.0,1.0,55.0,1,1055,4.74,False
82,-82.5475,35.58215,C,Entire home/apt,4,2.0,2.0,189.0,2,228,4.94,True
83,-82.5441,35.61206,B,Entire home/apt,3,1.0,2.0,80.0,29,18,5.0,False
84,-82.54579,35.59183,B,Entire home/apt,3,2.0,2.0,150.0,30,0,,False
85,-82.50414,35.59006,E,Entire home/apt,4,2.0,2.0,100.0,30,76,4.63,False
86,-82.60711,35.58012,A,Entire home/apt,2,,1.0,55.0,30,181,4.73,False
87,-82.56226,35.60233,B,Entire home/apt,2,,1.0,126.0,2,302,4.99,True
88,-82.60579,35.57729,A,Private room,2,1.0,,72.0,2,182,4.95,False
89,-82.5769,35.63273,D,Entire home/apt,4,2.0,2.0,99.0,2,195,4.74,True
90,-82.4924,35.54661,C,Entire home/apt,2,1.0,1.0,126.0,2,268,4.94,True
91,-82.56361,35.60815,B,Entire home/apt,6,1.0,6.0,104.0,1,510,4.92,False
92,-82.56742,35.60961,B,Entire home/apt,4,1.0,2.0,131.0,120,50,4.71,False
93,-82.58172,35.57965,A,Entire home/apt,4,1.0,1.0,135.0,1,379,4.6,False
94,-82.650299,35.637108,A,Entire home/apt,10,3.0,7.0,621.0,3,71,4.42,False
95,-82.596458,35.597855,A,Private room,2,1.0,1.0,76.0,3,53,4.12,False
96,-82.59688,35.61309,A,Entire home/apt,6,3.0,3.0,258.0,3,174,4.89,False
97,-82.56673,35.59157,B,Entire home/apt,3,1.0,1.0,124.0,2,319,4.79,True
98,-82.58608,35.62909,D,Entire home/apt,4,2.0,2.0,192.0,3,96,4.88,False
99,-82.55582,35.61053,B,Entire home/apt,3,,1.0,84.0,1,452,4.76,True
100,-82.57323,35.62881,D,Entire home/apt,3,1.0,1.0,158.0,2,211,4.93,True
101,-82.561401,35.622231,D,Entire home/apt,4,1.0,3.0,74.0,2,327,4.8,True
102,-82.58663,35.58006,A,Private room,2,1.0,1.0,58.0,1,201,4.92,False
103,-82.542511,35.653435,D,Entire home/apt,2,1.0,1.0,280.0,2,226,4.99,True
104,-82.60681,35.62284,D,Entire home/apt,5,2.0,3.0,80.0,2,433,4.72,True
105,-82.53753,35.57347,C,Entire home/apt,4,2.0,2.0,99.0,2,300,4.89,False
106,-82.5552,35.6154,D,Private room,2,1.0,1.0,72.0,1,442,4.93,False
107,-82.54235,35.65384,D,Entire home/apt,2,1.0,1.0,240.0,2,88,4.99,True
108,-82.51704,35.54616,C,Entire home/apt,6,3.0,3.0,85.0,2,293,4.89,False
109,-82.50199,35.58668,E,Private room,1,,1.0,54.0,30,32,4.88,False
110,-82.50199,35.58668,E,Private room,2,1.0,1.0,58.0,30,52,4.76,False
111,-82.53366,35.63595,D,Entire home/apt,4,1.0,2.0,62.0,2,273,4.86,False
112,-82.55724,35.61244,B,Entire home/apt,3,1.0,1.0,92.0,1,281,4.87,True
114,-82.54488,35.59191,B,Entire home/apt,2,2.0,2.0,200.0,30,73,4.79,False
115,-82.54074,35.57474,C,Entire home/apt,6,2.0,4.0,180.0,30,0,,False
116,-82.49266,35.58712,E,Entire home/apt,2,1.0,1.0,70.0,90,158,4.94,True
117,-82.46756,35.4456,H,Entire home/apt,8,3.0,6.0,223.0,2,145,4.94,False
118,-82.57162,35.57923,A,Entire home/apt,2,,1.0,95.0,2,145,4.94,False
119,-82.53288,35.57424,C,Entire home/apt,5,1.0,1.0,116.0,2,612,4.93,True
120,-82.52114,35.62464,E,Entire home/apt,6,3.0,4.0,325.0,3,217,4.81,False
121,-82.59573,35.58072,A,Entire home/apt,5,2.0,3.0,141.0,1,561,4.93,False
122,-82.55357,35.59623,B,Entire home/apt,2,,1.0,264.0,1,604,4.91,False
123,-82.48867,35.60858,E,Entire home/apt,10,3.0,6.0,334.0,3,111,4.99,False
124,-82.55765,35.60065,B,Entire home/apt,4,2.0,4.0,180.0,60,320,4.86,False
125,-82.54681,35.56642,C,Entire home/apt,5,1.0,3.0,236.0,2,92,4.95,False
127,-82.49177,35.62436,E,Private room,2,1.0,1.0,106.0,2,173,4.97,True
128,-82.59686,35.5751,A,Entire home/apt,6,2.0,3.0,185.0,1,267,4.9,True
129,-82.55071,35.61937,D,Entire home/apt,2,1.0,1.0,160.0,1,130,4.94,False
130,-82.53813,35.58304,E,Entire home/apt,4,2.0,2.0,123.0,1,347,4.87,False
131,-82.58182,35.58265,A,Entire home/apt,4,1.0,2.0,110.0,3,201,4.58,False
132,-82.5197,35.44968,F,Entire home/apt,6,1.0,4.0,63.0,2,303,4.93,True
133,-82.57044,35.59712,B,Entire home/apt,2,1.0,1.0,92.0,1,281,4.7,True
134,-82.48628,35.54909,C,Entire home/apt,8,4.0,4.0,263.0,4,131,4.88,False
135,-82.55374,35.60952,B,Private room,4,2.0,2.0,60.0,30,200,4.71,False
136,-82.63776,35.54977,G,Private room,2,1.0,1.0,88.0,2,95,4.96,False
137,-82.51539,35.49363,C,Private room,3,1.0,2.0,52.0,2,63,4.7,True
138,-82.57827,35.57517,A,Entire home/apt,2,1.0,1.0,114.0,2,831,4.93,False
139,-82.50869,35.62716,D,Entire home/apt,3,1.0,1.0,150.0,3,143,4.97,False
140,-82.47322,35.42342,H,Entire home/apt,4,1.0,2.0,101.0,1,102,4.78,False
141,-82.55014,35.59058,B,Private room,1,1.0,1.0,52.0,1,272,4.82,False
142,-82.5348,35.55061,C,Private room,2,1.0,1.0,51.0,1,305,4.91,False
143,-82.56054,35.59437,B,Entire home/apt,4,2.0,2.0,242.0,1,96,4.69,True
144,-82.61405,35.56829,A,Entire home/apt,2,,1.0,60.0,30,113,4.92,False
145,-82.47713,35.57819,E,Entire home/apt,4,3.0,3.0,132.0,30,75,4.9,False
146,-82.61086,35.58215,A,Entire home/apt,2,1.0,1.0,90.0,2,241,4.94,False
147,-82.53663,35.59373,E,Entire home/apt,2,,1.0,106.0,1,590,4.87,True
148,-82.48087,35.51689,C,Entire home/apt,4,1.0,2.0,69.0,1,243,4.8,True
149,-82.52602,35.56746,C,Entire home/apt,4,2.0,2.0,65.0,30,20,5.0,False
150,-82.5497,35.59085,B,Private room,2,1.0,1.0,92.0,2,337,4.8,False
151,-82.55088,35.6117,B,Entire home/apt,2,1.0,2.0,81.0,30,188,4.83,False
152,-82.49752,35.63373,D,Entire home/apt,2,1.0,1.0,325.0,2,16,4.81,True
153,-82.54559,35.59033,B,Entire home/apt,4,2.0,2.0,249.0,3,205,4.72,False
154,-82.60122,35.6174,A,Entire home/apt,4,2.0,2.0,126.0,1,170,4.83,True
155,-82.4759,35.55554,C,Entire home/apt,8,3.0,4.0,150.0,2,249,4.91,True
156,-82.50911,35.44831,F,Entire home/apt,3,1.0,1.0,103.0,2,157,4.97,False
158,-82.59566,35.57895,A,Private room,2,1.0,1.0,71.0,1,71,4.71,True
159,-82.59533,35.5808,A,Private room,2,1.0,1.0,53.0,1,153,4.72,False
160,-82.55101,35.59132,B,Private room,2,1.0,1.0,92.0,2,333,4.81,False
161,-82.49074,35.58775,E,Entire home/apt,2,1.0,1.0,95.0,3,124,4.94,False
162,-82.56032,35.60378,B,Entire home/apt,4,1.0,1.0,60.0,30,139,4.84,False
163,-82.52548,35.56537,C,Entire home/apt,4,1.0,1.0,132.0,2,100,4.8,False
164,-82.59004,35.59331,A,Entire home/apt,2,1.0,1.0,104.0,2,397,4.95,False
165,-82.60324,35.57816,A,Private room,2,1.0,1.0,125.0,2,110,4.9,False
166,-82.506,35.48087,F,Entire home/apt,6,3.0,4.0,325.0,3,29,5.0,True
167,-82.46849,35.64419,E,Entire home/apt,8,3.0,6.0,95.0,3,76,4.62,False
168,-82.58511,35.63204,D,Entire home/apt,2,1.0,1.0,114.0,30,137,4.86,False
169,-82.50085,35.47536,F,Private room,4,2.0,2.0,95.0,1,176,4.8,False
170,-82.55445,35.5914,B,Entire home/apt,4,,2.0,118.0,1,719,4.92,True
171,-82.55778,35.60804,B,Entire home/apt,4,2.0,2.0,205.0,4,25,4.8,False
172,-82.58783,35.58142,A,Entire home/apt,2,1.0,1.0,103.0,2,363,4.9,False
173,-82.57153,35.63071,D,Private room,2,1.0,1.0,95.0,2,104,4.82,True
174,-82.48023,35.64462,E,Entire home/apt,3,1.0,2.0,95.0,3,327,4.85,False
175,-82.59423,35.57907,A,Entire home/apt,4,1.0,2.0,96.0,2,359,4.68,False
176,-82.64233,35.57531,A,Entire home/apt,7,3.0,3.0,364.0,2,217,4.8,True
177,-82.59364,35.57786,A,Entire home/apt,2,1.0,1.0,214.0,1,142,4.89,True
178,-82.52717,35.53939,C,Entire home/apt,2,1.0,1.0,94.0,2,287,4.94,False
179,-82.58295,35.63038,D,Entire home/apt,1,1.0,1.0,93.0,28,101,4.9,False
180,-82.53233,35.56465,C,Entire home/apt,3,1.0,1.0,97.0,2,183,4.81,True
181,-82.53607,35.57646,C,Entire home/apt,2,1.0,1.0,66.0,30,6,4.67,False
182,-82.5556,35.60129,B,Entire home/apt,2,1.0,1.0,117.0,1,641,4.92,False
183,-82.53833,35.57929,C,Entire home/apt,4,2.0,2.0,60.0,60,16,5.0,False
184,-82.61658,35.49902,A,Entire home/apt,10,4.0,8.0,192.0,2,57,4.84,True
185,-82.50033,35.58089,E,Entire home/apt,2,2.0,2.0,150.0,30,4,5.0,True
186,-82.57205,35.63113,D,Private room,2,1.0,1.0,89.0,2,140,4.72,True
187,-82.50314,35.5859,E,Private room,1,1.0,1.0,60.0,30,19,4.79,False
188,-82.55504,35.59822,B,Entire home/apt,8,4.0,5.0,450.0,2,150,4.99,False
189,-82.54732,35.60637,B,Entire home/apt,6,2.0,2.0,146.0,30,34,4.65,True
190,-82.50277,35.60002,E,Entire home/apt,3,1.0,1.0,104.0,2,354,4.97,False
191,-82.51177,35.4904,C,Entire home/apt,4,2.0,2.0,238.0,5,18,4.94,False
192,-82.59728,35.57533,A,Private room,2,1.0,1.0,120.0,2,54,4.94,False
193,-82.59905,35.54128,A,Entire home/apt,6,3.0,3.0,293.0,1,377,4.97,True
194,-82.54484,35.57594,C,Entire home/apt,8,4.0,7.0,400.0,2,40,4.79,False
195,-82.563,35.60754,B,Entire home/apt,1,,1.0,58.0,28,345,4.89,False
196,-82.50869,35.59734,E,Entire home/apt,2,,1.0,64.0,30,5,5.0,False
197,-82.59944,35.57634,A,Entire home/apt,4,1.0,1.0,93.0,1,503,4.87,False
198,-82.4772,35.49877,C,Entire home/apt,5,1.0,2.0,93.0,1,63,4.9,False
199,-82.552986,35.610279,B,Entire home/apt,2,1.0,2.0,138.0,2,175,4.95,True
200,-82.56014,35.61802,D,Entire home/apt,4,2.0,2.0,80.0,30,200,4.78,True
201,-82.48152,35.61288,E,Entire home/apt,2,,1.0,84.0,2,62,4.67,False
202,-82.61722,35.56753,A,Private room,4,1.0,2.0,64.0,1,217,4.95,False
203,-82.52298,35.44149,H,Private room,2,1.0,2.0,371.0,2,57,4.86,False
204,-82.55425,35.59497,B,Entire home/apt,4,,1.0,254.0,2,374,4.91,True
205,-82.56654,35.59686,B,Entire home/apt,2,1.0,1.0,150.0,2,244,4.98,False
206,-82.56017,35.59874,B,Entire home/apt,2,1.0,2.0,250.0,2,162,5.0,True
207,-82.57449,35.57233,A,Entire home/apt,6,2.0,3.0,70.0,28,225,4.98,True
208,-82.55487,35.46334,F,Entire home/apt,6,1.0,2.0,204.0,3,4,4.75,True
209,-82.54343,35.60654,B,Entire home/apt,4,2.0,1.0,84.0,1,615,4.79,False
210,-82.59243,35.58394,A,Entire home/apt,5,2.0,2.0,200.0,2,99,4.91,False
211,-82.55218,35.60612,B,Entire home/apt,5,2.0,3.0,158.0,1,523,4.82,False
212,-82.49938,35.59957,E,Private room,2,1.0,1.0,125.0,1,357,4.96,True
213,-82.52125,35.64256,D,Entire home/apt,6,3.0,4.0,285.0,3,3,5.0,False
214,-82.5512,35.58533,B,Private room,2,1.0,1.0,59.0,1,96,4.71,True
215,-82.55415,35.60187,B,Entire home/apt,2,1.0,1.0,90.0,30,151,4.85,False
216,-82.59199,35.57493,A,Entire home/apt,5,2.0,2.0,171.0,5,231,4.84,True
217,-82.54367,35.60576,B,Entire home/apt,4,2.0,2.0,250.0,7,4,5.0,False
218,-82.47455,35.64403,E,Entire home/apt,8,4.0,5.0,142.0,2,279,4.89,False
219,-82.55304,35.59541,B,Entire home/apt,4,1.0,2.0,235.0,28,71,4.96,False
220,-82.57118,35.57414,A,Private room,2,1.0,1.0,98.0,2,45,4.98,False
221,-82.48873,35.61599,E,Entire home/apt,4,,2.0,124.0,2,223,4.74,False
222,-82.54969,35.59891,B,Entire home/apt,2,1.0,1.0,85.0,30,60,4.98,False
223,-82.51583,35.59999,E,Entire home/apt,2,1.0,1.0,60.0,30,12,4.67,False
224,-82.54259,35.65258,D,Entire home/apt,2,1.0,3.0,134.0,3,203,4.9,False
225,-82.56136,35.59871,B,Entire home/apt,2,1.0,1.0,299.0,3,19,4.89,False
226,-82.57792,35.638,D,Entire home/apt,2,1.0,1.0,115.0,3,163,4.88,False
227,-82.55617,35.60129,B,Private room,2,1.0,1.0,137.0,2,304,4.98,False
228,-82.55384,35.59558,B,Entire home/apt,2,1.0,1.0,284.0,2,125,4.95,True
229,-82.65691,35.56264,G,Entire home/apt,5,2.0,2.0,146.0,2,72,4.96,False
230,-82.51014,35.56556,C,Private room,4,1.0,1.0,75.0,2,116,4.83,False
231,-82.51221,35.6422,D,Entire home/apt,4,2.0,2.0,125.0,2,319,4.94,False
232,-82.48926,35.61422,E,Entire home/apt,4,1.0,2.0,114.0,2,56,4.77,False
233,-82.56596,35.45656,F,Entire home/apt,4,2.0,2.0,195.0,2,31,4.9,False
234,-82.56742,35.5881,B,Entire home/apt,4,3.0,2.0,96.0,28,4,4.75,False
235,-82.57344,35.43613,F,Private room,2,1.0,1.0,77.0,1,66,4.92,True
236,-82.66169,35.54971,G,Entire home/apt,4,2.0,2.0,188.0,2,111,4.98,True
237,-82.58711,35.5651,C,Entire home/apt,4,1.0,2.0,106.0,1,276,4.89,False
238,-82.65604,35.5964,A,Entire home/apt,6,3.0,3.0,155.0,2,124,4.93,True
239,-82.53867,35.59463,B,Entire home/apt,4,2.0,2.0,200.0,2,275,4.89,True
240,-82.567,35.59832,B,Entire home/apt,2,1.0,1.0,131.0,3,283,4.88,True
241,-82.47238,35.64108,E,Entire home/apt,6,3.0,3.0,136.0,5,116,4.81,False
242,-82.55792,35.63132,D,Entire home/apt,4,2.0,3.0,125.0,2,101,4.95,False
243,-82.53165,35.56629,C,Private room,2,1.0,1.0,130.0,2,111,4.95,True
244,-82.49001,35.5542,C,Private room,2,1.0,1.0,76.0,2,73,4.93,False
245,-82.54227,35.61484,B,Entire home/apt,2,1.0,1.0,136.0,2,266,4.96,True
246,-82.47769,35.62023,E,Entire home/apt,6,3.0,4.0,175.0,3,62,5.0,False
247,-82.50271,35.47528,F,Entire home/apt,3,1.0,1.0,105.0,1,428,4.84,False
248,-82.57308,35.64124,D,Entire home/apt,4,1.0,2.0,121.0,2,208,4.87,False
249,-82.5658,35.5899,B,Entire home/apt,2,,2.0,176.0,2,156,5.0,False
250,-82.49314,35.54698,C,Entire home/apt,2,1.0,1.0,126.0,2,66,4.92,True
251,-82.54402,35.57818,C,Entire home/apt,4,2.0,2.0,128.0,2,274,4.92,True
252,-82.56011,35.58393,B,Entire home/apt,3,1.0,2.0,136.0,2,277,4.8,False
253,-82.59896,35.61663,A,Entire home/apt,4,2.0,2.0,136.0,2,236,4.94,True
254,-82.54167,35.61164,D,Entire home/apt,4,1.0,2.0,72.0,30,0,,False
255,-82.54206,35.56694,C,Entire home/apt,4,1.0,2.0,227.0,2,186,4.87,True
256,-82.54326,35.61453,B,Entire home/apt,2,1.0,2.0,75.0,30,32,4.84,False
257,-82.53422,35.62626,D,Entire home/apt,6,3.0,3.0,321.0,2,173,4.97,False
258,-82.57358,35.56921,A,Entire home/apt,6,3.0,3.0,98.0,30,25,4.92,False
260,-82.54076,35.60168,D,Entire home/apt,4,2.0,2.0,288.0,3,23,5.0,True
261,-82.54781,35.60427,B,Private room,2,1.0,1.0,80.0,3,222,4.95,False
263,-82.50872,35.56561,C,Private room,6,1.0,3.0,75.0,2,118,4.9,False
264,-82.59676,35.57954,A,Entire home/apt,8,3.0,4.0,309.0,3,105,4.94,False
265,-82.47306,35.63128,E,Entire home/apt,4,2.0,2.0,548.0,1,432,4.99,False
266,-82.52327,35.61644,E,Entire home/apt,6,3.0,3.0,352.0,2,89,4.93,True
267,-82.59973,35.57397,A,Entire home/apt,4,1.0,3.0,138.0,1,542,4.9,False
268,-82.58181,35.57689,A,Private room,2,1.0,1.0,83.0,2,39,4.85,False
269,-82.56556,35.45488,F,Entire home/apt,4,1.0,2.0,118.0,2,104,5.0,True
270,-82.47744,35.55371,C,Entire home/apt,8,3.0,7.0,213.0,2,449,4.86,True
271,-82.51547,35.49374,C,Private room,5,1.0,4.0,68.0,2,56,4.57,True
273,-82.6508,35.51462,G,Entire home/apt,7,3.0,3.0,223.0,1,529,4.72,True
274,-82.60454,35.57484,A,Private room,2,1.0,1.0,70.0,1,108,4.99,False
275,-82.59925,35.57363,A,Entire home/apt,2,1.0,1.0,101.0,2,267,4.83,True
276,-82.55764,35.60898,B,Entire home/apt,2,1.0,1.0,200.0,30,156,4.89,False
277,-82.55976,35.5825,B,Entire home/apt,2,1.0,1.0,110.0,2,246,4.73,True
278,-82.48841,35.44921,H,Entire home/apt,4,1.0,2.0,97.0,4,241,4.94,False
279,-82.54206,35.56694,C,Entire home/apt,4,1.0,2.0,221.0,2,229,4.89,False
280,-82.58093,35.5856,A,Entire home/apt,3,1.0,2.0,135.0,2,231,4.94,True
281,-82.50085,35.45235,F,Entire home/apt,4,3.0,2.0,132.0,2,99,4.99,False
282,-82.47938,35.64346,E,Entire home/apt,2,,1.0,68.0,3,272,4.76,False
283,-82.61764,35.58703,A,Entire home/apt,2,1.0,1.0,57.0,30,150,4.91,False
285,-82.55412,35.59184,B,Entire home/apt,4,1.0,2.0,127.0,1,537,4.92,True
286,-82.53039,35.63241,D,Entire home/apt,2,1.0,1.0,168.0,3,131,4.92,True
287,-82.61061,35.57393,A,Entire home/apt,4,1.0,2.0,118.0,3,235,4.95,True
288,-82.56988,35.58489,A,Entire home/apt,2,1.0,1.0,130.0,3,61,4.95,False
289,-82.55316,35.59502,B,Entire home/apt,4,1.0,1.0,235.0,1,556,4.97,True
290,-82.60593,35.57862,A,Private room,2,1.0,1.0,80.0,2,64,4.66,True
291,-82.49189,35.55623,C,Entire home/apt,6,3.0,4.0,275.0,3,74,4.95,False
292,-82.57821,35.4357,F,Entire home/apt,4,2.0,2.0,167.0,3,8,4.75,True
293,-82.56632,35.59754,B,Entire home/apt,2,1.0,1.0,161.0,2,185,4.98,False
294,-82.47698,35.55623,C,Private room,2,1.0,1.0,105.0,1,146,4.97,True
295,-82.5999,35.58032,A,Entire home/apt,2,1.0,1.0,139.0,2,230,4.76,False
296,-82.57666,35.57319,A,Entire home/apt,2,1.0,1.0,135.0,2,143,4.85,False
297,-82.61442,35.5969,A,Entire home/apt,2,1.0,1.0,136.0,1,164,4.84,True
298,-82.56708,35.63316,D,Entire home/apt,4,1.0,2.0,167.0,2,88,4.82,False
299,-82.59897,35.58161,A,Entire home/apt,6,2.0,2.0,190.0,2,254,4.69,False
301,-82.56054,35.59437,B,Entire home/apt,4,2.0,2.0,240.0,1,132,4.68,True
302,-82.56237,35.60229,B,Entire home/apt,2,,1.0,74.0,30,32,4.97,False
303,-82.51434,35.48065,F,Entire home/apt,4,2.0,2.0,200.0,3,32,4.87,False
304,-82.56054,35.59437,B,Entire home/apt,4,2.0,2.0,242.0,1,119,4.8,True
305,-82.56054,35.59437,B,Entire home/apt,4,2.0,2.0,243.0,1,118,4.65,True
306,-82.53672,35.63261,D,Entire home/apt,2,1.0,1.0,73.0,1,254,4.97,True
307,-82.5955,35.58156,A,Entire home/apt,2,1.0,1.0,86.0,2,281,4.68,False
308,-82.55052,35.59147,B,Private room,2,1.0,1.0,131.0,2,55,4.65,True
309,-82.52325,35.55147,C,Private room,2,1.0,1.0,54.0,2,181,4.9,False
310,-82.6622,35.51017,G,Entire home/apt,6,3.0,3.0,217.0,2,78,4.87,False
312,-82.55152,35.6165,D,Entire home/apt,2,1.0,1.0,88.0,1,425,4.86,True
313,-82.58439,35.5789,A,Entire home/apt,4,2.0,2.0,132.0,3,241,4.88,False
315,-82.48589,35.60833,E,Entire home/apt,6,2.0,2.0,161.0,3,132,4.92,True
316,-82.61263,35.59136,A,Entire home/apt,4,1.0,2.0,86.0,2,234,4.85,True
317,-82.54157,35.61495,B,Entire home/apt,3,1.0,2.0,125.0,30,17,4.82,False
318,-82.57492,35.62119,D,Entire home/apt,4,2.0,3.0,119.0,3,189,4.87,False
